date,y
2017-03-02,0.956
2017-03-01,0.96
2017-02-28,0.957
2017-02-27,0.954
2017-02-24,0.966
2017-02-23,0.968
2017-02-22,0.966
2017-02-21,0.964
2017-02-20,0.959
2017-02-17,0.935
2017-02-16,0.934
2017-02-15,0.927
2017-02-14,0.934
2017-02-13,0.935
2017-02-10,0.926
2017-02-09,0.928
2017-02-08,0.925
2017-02-07,0.921
2017-02-06,0.924
2017-02-03,0.916
2017-01-26,0.92
2017-01-25,0.917
2017-01-24,0.914
2017-01-23,0.915
2017-01-20,0.913
2017-01-19,0.904
2017-01-18,0.905
2017-01-17,0.905
2017-01-16,0.9
2017-01-13,0.911
2017-01-12,0.914
2017-01-11,0.919
2017-01-10,0.927
2017-01-09,0.932
2017-01-06,0.932
2017-01-05,0.937
2017-01-04,0.94
2017-01-03,0.929
2016-12-31,0.924
2016-12-30,0.924
2016-12-29,0.92
2016-12-28,0.917
2016-12-27,0.919
2016-12-26,0.92
2016-12-23,0.916
2016-12-22,0.924
2016-12-21,0.928
2016-12-20,0.922
2016-12-19,0.922
2016-12-16,0.924
2016-12-15,0.914
2016-12-14,0.921
2016-12-13,0.93
2016-12-12,0.924
2016-12-09,0.948
2016-12-08,0.951
2016-12-07,0.954
2016-12-06,0.951
2016-12-05,0.949
2016-12-02,0.948
2016-12-01,0.956
2016-11-30,0.953
2016-11-29,0.963
2016-11-28,0.958
2016-11-25,0.956
2016-11-24,0.952
2016-11-23,0.955
2016-11-22,0.96
2016-11-21,0.953
2016-11-18,0.953
2016-11-17,0.956
2016-11-16,0.957
2016-11-15,0.957
2016-11-14,0.95
2016-11-11,0.951
2016-11-10,0.955
2016-11-09,0.951
2016-11-08,0.957
2016-11-07,0.947
2016-11-04,0.951
2016-11-03,0.959
2016-11-02,0.96
2016-11-01,0.967
2016-10-31,0.957
2016-10-28,0.958
2016-10-27,0.959
2016-10-26,0.962
2016-10-25,0.964
2016-10-24,0.957
2016-10-21,0.951
2016-10-20,0.957
2016-10-19,0.955
2016-10-18,0.961
2016-10-17,0.956
2016-10-14,0.961
2016-10-13,0.968
2016-10-12,0.968
2016-10-11,0.967
2016-10-10,0.967
2016-09-30,0.955
2016-09-29,0.949
2016-09-28,0.944
2016-09-27,0.94
2016-09-26,0.932
2016-09-23,0.94
2016-09-22,0.943
2016-09-21,0.94
2016-09-20,0.938
2016-09-19,0.94
2016-09-14,0.935
2016-09-13,0.942
2016-09-12,0.937
2016-09-09,0.953
2016-09-08,0.96
2016-09-07,0.96
2016-09-06,0.964
2016-09-05,0.954
2016-09-02,0.949
2016-09-01,0.959
2016-08-31,0.961
2016-08-30,0.963
2016-08-29,0.964
2016-08-26,0.962
2016-08-25,0.958
2016-08-24,0.964
2016-08-23,0.964
2016-08-22,0.961
2016-08-19,0.96
2016-08-18,0.959
2016-08-17,0.963
2016-08-16,0.963
2016-08-15,0.961
2016-08-12,0.949
2016-08-11,0.947
2016-08-10,0.955
2016-08-09,0.957
2016-08-08,0.949
2016-08-05,0.943
2016-08-04,0.943
2016-08-03,0.938
2016-08-02,0.936
2016-08-01,0.933
2016-07-29,0.947
2016-07-28,0.945
2016-07-27,0.936
2016-07-26,0.952
2016-07-25,0.94
2016-07-22,0.937
2016-07-21,0.946
2016-07-20,0.944
2016-07-19,0.944
2016-07-18,0.948
2016-07-15,0.95
2016-07-14,0.946
2016-07-13,0.947
2016-07-12,0.945
2016-07-11,0.932
2016-07-08,0.936
2016-07-07,0.938
2016-07-06,0.94
2016-07-05,0.933
2016-07-04,0.931
2016-07-01,0.919
2016-06-30,0.918
2016-06-29,0.915
2016-06-28,0.91
2016-06-27,0.906
2016-06-24,0.892
2016-06-23,0.898
2016-06-22,0.902
2016-06-21,0.893
2016-06-20,0.9
2016-06-17,0.895
2016-06-16,0.888
2016-06-15,0.896
2016-06-14,0.874
2016-06-13,0.873
2016-06-08,0.902
2016-06-07,0.908
2016-06-06,0.908
2016-06-03,0.903
2016-06-02,0.892
2016-06-01,0.892
2016-05-31,0.891
2016-05-30,0.858
2016-05-27,0.865
2016-05-26,0.864
2016-05-25,0.857
2016-05-24,0.865
2016-05-23,0.875
2016-05-20,0.864
2016-05-19,0.856
2016-05-18,0.853
2016-05-17,0.875
2016-05-16,0.881
2016-05-13,0.864
2016-05-12,0.867
2016-05-11,0.867
2016-05-10,0.861
2016-05-09,0.857
2016-05-06,0.876
2016-05-05,0.9
2016-05-04,0.9
2016-05-03,0.9
2016-04-29,0.869
2016-04-28,0.869
2016-04-27,0.867
2016-04-26,0.866
2016-04-25,0.862
2016-04-22,0.866
2016-04-21,0.852
2016-04-20,0.863
2016-04-19,0.899
2016-04-18,0.891
2016-04-15,0.9
2016-04-14,0.902
2016-04-13,0.896
2016-04-12,0.89
2016-04-11,0.895
2016-04-08,0.874
2016-04-07,0.881
2016-04-06,0.898
2016-04-05,0.894
2016-04-01,0.873
2016-03-31,0.879
2016-03-30,0.874
2016-03-29,0.843
2016-03-28,0.862
2016-03-25,0.865
2016-03-24,0.862
2016-03-23,0.871
2016-03-22,0.865
2016-03-21,0.862
2016-03-18,0.848
2016-03-17,0.823
2016-03-16,0.796
2016-03-15,0.803
2016-03-14,0.809
2016-03-11,0.782
2016-03-10,0.781
2016-03-09,0.79
2016-03-08,0.803
2016-03-07,0.797
2016-03-04,0.781
2016-03-03,0.801
2016-03-02,0.801
2016-03-01,0.767
2016-02-29,0.752
2016-02-26,0.792
2016-02-25,0.785
2016-02-24,0.844
2016-02-23,0.85
2016-02-22,0.854
2016-02-19,0.84
2016-02-18,0.836
2016-02-17,0.838
2016-02-16,0.831
2016-02-15,0.792
2016-02-05,0.797
2016-02-04,0.804
2016-02-03,0.793
2016-02-02,0.791
2016-02-01,0.763
2016-01-29,0.761
2016-01-28,0.73
2016-01-27,0.758
2016-01-26,0.766
2016-01-25,0.825
2016-01-22,0.815
2016-01-21,0.807
2016-01-20,0.847
